ZIP Code,Latitude,Longtitude,Population,Cluster
60073,42.3516,-88.10597,62071,6
60074,42.13179,-88.02658,37222,6
60075,42.49245,-87.91205,0,6
60076,42.03412,-87.72943,33170,9
60077,42.03617,-87.75633,29330,9
60081,42.45115,-88.22173,9194,6
60083,42.43716,-87.94663,9699,6
60084,42.26807,-88.13856,17301,6
60085,42.35498,-87.86467,71465,6
60087,42.40444,-87.85631,27815,6
60088,42.30685,-87.85232,14143,6
60089,42.16736,-87.96076,42867,6
60090,42.13031,-87.92268,38753,9
60091,42.07693,-87.72812,27591,9
60093,42.10333,-87.75826,20272,9
60096,42.48091,-87.82978,6655,6
60097,42.39343,-88.36164,11865,6
60098,42.32468,-88.45672,33116,6
60099,42.46053,-87.86901,31523,6
60101,41.931,-88.01072,37175,7
60102,42.16406,-88.30928,32227,7
60103,41.97816,-88.20511,42047,7
60104,41.88256,-87.87646,18621,9
60106,41.9611,-87.94194,20321,9
60107,42.02148,-88.1783,39450,7
60108,41.94905,-88.09232,23647,7
60109,42.04448,-88.56261,434,4
60110,42.12296,-88.2883,39383,7
60111,42.00721,-88.83114,153,4
60112,41.92391,-88.68994,4783,4
60113,41.93142,-88.96421,245,4
60115,41.90109,-88.75469,42456,4
60118,42.10793,-88.30614,15623,7
60119,41.86154,-88.47702,10872,4
60120,42.03317,-88.2374,50589,7
60123,42.04011,-88.31166,49537,7
60124,42.02621,-88.39691,24172,7
60126,41.89627,-87.94194,48032,9
60129,42.02963,-88.95371,224,4
60130,41.86704,-87.81795,14165,9
60131,41.9378,-87.88304,18258,9
60133,41.97805,-88.14291,37222,7
60134,41.8784,-88.34189,30938,7
60135,42.11265,-88.67867,7021,4
60136,42.1053,-88.37808,8481,7
60137,41.86539,-88.06225,38945,7
60139,41.91916,-88.07735,33161,7
60140,42.08003,-88.5086,21287,4
60141,41.85834,-87.8379,280,9
60142,42.17517,-88.44486,29449,7
60143,41.97351,-88.02071,11645,7
60144,41.83507,-88.51984,83,4
60145,42.09396,-88.77719,2539,4
60146,42.10091,-88.88019,2193,4
60148,41.87505,-88.01859,52598,7
60150,41.92106,-88.88982,2007,4
60151,41.9172,-88.56613,3944,4
60152,42.23882,-88.62597,12264,4
60153,41.87984,-87.84389,23385,9
60154,41.84923,-87.88986,16694,9
60155,41.8578,-87.85631,7965,9
60156,42.19121,-88.34788,28958,7
60157,41.974,-88.05476,2550,7
60160,41.90348,-87.86176,25177,9
60162,41.86753,-87.90196,8213,9
60163,41.88794,-87.90948,5273,9
60164,41.91667,-87.90112,21371,9
60165,41.90328,-87.88056,4566,9
60169,42.05192,-88.11656,33910,7
60171,41.92504,-87.83832,10532,9
60172,41.97976,-88.08937,24016,7
60173,42.05287,-88.0526,14067,7
60174,41.92759,-88.29906,30799,7
60175,41.94695,-88.3913,25957,7
60176,41.9583,-87.8697,11600,9
60177,41.98931,-88.30987,23931,7
60178,42.00625,-88.67205,21996,4
60180,42.22342,-88.52023,1721,4
60181,41.87795,-87.97626,30973,9
60183,41.94019,-88.40908,0,7
60184,41.95208,-88.25323,2220,7
60185,41.89308,-88.21498,34049,7
60187,41.87231,-88.1126,29258,7
60188,41.91562,-88.12958,42219,7
60189,41.83957,-88.12128,31036,7
60190,41.87319,-88.1576,11652,7
60191,41.9647,-87.98087,14193,9
60192,42.07265,-88.16797,16536,7
60193,42.01195,-88.09552,39451,7
60194,42.03339,-88.11125,20312,7
60195,42.06541,-88.08657,5018,7
60201,42.05665,-87.69827,43122,9
60202,42.03043,-87.68958,33868,9
60203,42.04905,-87.71748,4540,9
60208,42.05457,-87.67412,191,9
60301,41.88865,-87.79648,3207,9
60302,41.8948,-87.78983,33063,9
60304,41.87249,-87.78933,17564,9
60305,41.89501,-87.81943,11568,9
60401,41.34683,-87.61306,7833,8
60402,41.83237,-87.78983,64659,9
60403,41.56696,-88.12438,17225,0
60404,41.50864,-88.22269,19668,0
60406,41.65509,-87.68184,24959,8
60407,41.23037,-88.26415,1581,0
60408,41.26684,-88.21733,5307,0
60409,41.61303,-87.55142,35708,8
60410,41.42119,-88.2171,13970,0
60411,41.50791,-87.59031,53222,8
60415,41.70341,-87.77953,14284,8
60416,41.29357,-88.28197,9372,0
60417,41.43056,-87.59268,15390,8
60418,41.64568,-87.74084,10733,8
60419,41.62752,-87.59871,21283,8
60421,41.40851,-88.08936,3850,0
60422,41.53861,-87.68443,9735,8
60423,41.47922,-87.83961,32596,8
60424,41.16604,-88.32941,2309,0
60425,41.54343,-87.61073,8623,8
60426,41.61026,-87.65309,23213,8
60428,41.5998,-87.69062,11155,8
60429,41.5737,-87.68331,15069,8
60430,41.5584,-87.66214,20430,8
60431,41.53355,-88.20568,27357,0
60432,41.54087,-88.0406,20483,0
60433,41.49895,-88.04248,15485,0
60435,41.54492,-88.1288,48574,0
60436,41.48973,-88.12392,18452,0
60438,41.56625,-87.55065,29059,8
60439,41.67692,-87.97623,24670,9
60440,41.70125,-88.07572,51412,7
60441,41.59238,-88.05106,37046,0
60442,41.39189,-87.96062,13135,0
60443,41.50369,-87.74637,20735,8
60444,41.24246,-88.40403,1928,0
60445,41.62833,-87.73542,14632,8
60446,41.63304,-88.09855,41253,0
60447,41.48796,-88.32498,15662,0
60448,41.53821,-87.89396,24626,8
60449,41.41392,-87.76978,9564,8
60450,41.37011,-88.43417,20729,0
60451,41.50717,-87.96088,37488,0
60452,41.60851,-87.75434,26939,8
60453,41.71412,-87.75278,57665,8
60455,41.74102,-87.8068,17204,9
60456,41.73125,-87.73111,4299,8
60457,41.72475,-87.82987,14650,9
